Jul 03 2006,11228.02
Jul 05 2006,11151.82
Jul 06 2006,11225.3
Jul 07 2006,11090.67
Jul 10 2006,11103.55
Jul 11 2006,11134.77
Jul 12 2006,11013.18
Jul 13 2006,10846.29
Jul 14 2006,10739.35
Jul 17 2006,10747.36
Jul 18 2006,10799.23
Jul 19 2006,11011.42
Jul 20 2006,10928.1
Jul 21 2006,10868.38
Jul 24 2006,11051.05
Jul 25 2006,11103.71
Jul 26 2006,11102.51
Jul 27 2006,11100.43
Jul 28 2006,11219.7
Jul 31 2006,11185.68
Aug 01 2006,11125.73
Aug 02 2006,11199.92
Aug 03 2006,11242.59
Aug 04 2006,11240.35
Aug 07 2006,11219.38
Aug 08 2006,11173.59
Aug 09 2006,11076.18
Aug 10 2006,11124.37
Aug 11 2006,11088.02
Aug 14 2006,11097.87
Aug 15 2006,11230.26
Aug 16 2006,11327.12
Aug 17 2006,11334.96
Aug 18 2006,11381.47
Aug 21 2006,11345.04
Aug 22 2006,11339.84
Aug 23 2006,11297.9
Aug 24 2006,11304.46
Aug 25 2006,11284.05
Aug 28 2006,11352.01
Aug 29 2006,11369.94
Aug 30 2006,11382.91
Aug 31 2006,11381.15
Sep 01 2006,11464.15
Sep 05 2006,11469.28
Sep 06 2006,11406.2
Sep 07 2006,11331.44
Sep 08 2006,11392.11
Sep 11 2006,11396.84
Sep 12 2006,11498.09
Sep 13 2006,11543.32
Sep 14 2006,11527.39
Sep 15 2006,11560.77
Sep 18 2006,11555.
Sep 19 2006,11540.91
Sep 20 2006,11613.19
Sep 21 2006,11533.23
Sep 22 2006,11508.1
Sep 25 2006,11575.81
Sep 26 2006,11669.39
Sep 27 2006,11689.24
Sep 28 2006,11718.45
Sep 29 2006,11679.07
